Source,Target,VoteType,TotalPoints,Encounters,AvgPointsPerEncounter
AZ,RU,jury,72,3,24.0
AM,RU,public,48,2,24.0
MD,MK,jury,22,1,22.0
BA,HR,public,22,1,22.0
ME,RS,public,84,4,21.0
RO,HU,public,42,2,21.0
AZ,RU,public,62,3,20.67
GR,CY,public,132,7,18.86
BA,CZ,jury,18,1,18.0
BA,AZ,public,18,1,18.0
RS,HU,public,70,4,17.5
MK,AL,public,70,4,17.5
ME,RS,jury,68,4,17.0
RU,AM,public,34,2,17.0
RU,AZ,public,51,3,17.0
CY,RU,jury,48,3,16.0
RU,AZ,jury,48,3,16.0
MD,RU,public,64,4,16.0
RU,UA,public,47,3,15.67
PT,MD,public,76,5,15.2
PL,AU,jury,91,6,15.17
RU,AM,jury,30,2,15.0
MK,RS,public,90,6,15.0
SI,RS,public,105,7,15.0
UA,BY,public,30,2,15.0
IT,UA,public,119,8,14.88
IE,BG,jury,59,4,14.75
CY,GR,public,118,8,14.75
GR,CY,jury,103,7,14.71
AL,MK,jury,44,3,14.67
IL,RU,public,44,3,14.67
UA,BY,jury,29,2,14.5
LV,RU,public,58,4,14.5
GB,BG,public,58,4,14.5
GB,PL,public,87,6,14.5
ES,RO,public,29,2,14.5
IE,LT,public,129,9,14.33
EE,FI,public,113,8,14.12
EE,RU,public,42,3,14.0
LT,RU,public,42,3,14.0
BY,BG,public,42,3,14.0
RO,MD,public,84,6,14.0
IT,MD,public,83,6,13.83
IE,PL,public,69,5,13.8
PL,UA,public,110,8,13.75
MK,BG,public,55,4,13.75
EE,BG,jury,54,4,13.5
MK,BG,jury,54,4,13.5
CH,AL,public,94,7,13.43
CY,RU,public,40,3,13.33
ES,BG,public,53,4,13.25
GB,LT,public,105,8,13.12
BA,RU,jury,13,1,13.0
AM,MT,jury,39,3,13.0
BA,RU,public,13,1,13.0
ME,HR,public,26,2,13.0
FI,EE,public,104,8,13.0
FR,AM,public,77,6,12.83
CY,GR,jury,102,8,12.75
CY,BG,public,51,4,12.75
FI,SE,jury,114,9,12.67
ME,RU,public,38,3,12.67
GE,AM,public,76,6,12.67
LV,LT,public,100,8,12.5
LT,LV,public,62,5,12.4
BE,PL,public,74,6,12.33
AM,CY,public,74,6,12.33
RU,NO,public,37,3,12.33
MD,RU,jury,49,4,12.25
GB,BG,jury,49,4,12.25
AL,BG,public,61,5,12.2
MD,AZ,public,61,5,12.2
MD,UA,public,85,7,12.14
LT,UA,public,97,8,12.12
CH,RS,public,97,8,12.12
BA,UA,jury,12,1,12.0
GR,RU,jury,36,3,12.0
FI,BG,jury,48,4,12.0
BY,RU,public,24,2,12.0
BA,RS,public,12,1,12.0
AT,BA,public,12,1,12.0
HR,BA,public,12,1,12.0
ME,BA,public,12,1,12.0
SE,BA,public,12,1,12.0
ME,SI,public,36,3,12.0
LU,IL,public,24,2,12.0
DK,SE,public,107,9,11.89
NO,LT,public,107,9,11.89
DK,NO,public,107,9,11.89
FR,MD,public,71,6,11.83
RU,MD,jury,47,4,11.75
GE,UA,public,94,8,11.75
DK,IS,public,47,4,11.75
DE,SE,jury,105,9,11.67
HR,HU,jury,35,3,11.67
BY,UA,public,35,3,11.67
CZ,RU,public,35,3,11.67
NO,SE,public,105,9,11.67
HR,HU,public,35,3,11.67
RU,MT,jury,46,4,11.5
HU,BY,jury,23,2,11.5
BG,GR,jury,46,4,11.5
MD,RO,public,46,4,11.5
