Source,Target,MutualScore,A_to_B_avg,B_to_A_avg
AZ,RU,39.36,20.0,19.36
ME,RS,37.69,23.4,14.29
MK,RS,37.17,21.17,16.0
AM,RU,36.73,19.73,17.0
MD,RO,36.17,17.8,18.38
AM,GE,35.3,16.45,18.85
CS,MK,34.67,19.67,15.0
AL,MK,34.04,15.25,18.79
CY,GR,32.62,15.78,16.84
AU,SE,32.41,18.3,14.11
CS,HR,32.0,14.0,18.0
HR,RS,31.97,16.47,15.5
AL,GR,31.76,16.55,15.21
BA,RS,31.33,18.33,13.0
AZ,TR,31.2,14.4,16.8
LT,LV,31.06,17.21,13.85
BA,CS,30.67,17.0,13.67
MD,RU,30.13,17.8,12.33
AU,BE,28.88,15.0,13.88
BY,UA,28.27,15.36,12.92
RS,SI,27.73,11.73,16.0
AL,IT,27.49,14.86,12.64
GE,UA,27.1,15.4,11.7
MD,UA,26.87,16.94,9.93
AZ,GE,26.31,11.22,15.08
BY,RU,26.27,15.14,11.12
AZ,UA,26.16,15.47,10.69
AM,FR,25.84,8.41,17.43
AM,GR,25.64,12.76,12.88
BG,GR,25.02,13.46,11.56
BA,ME,24.9,9.5,15.4
AM,CY,24.71,15.0,9.71
LT,UA,24.63,15.63,9.0
BA,MK,24.27,12.67,11.6
PL,UA,24.06,15.39,8.67
AU,IS,23.75,8.38,15.38
CS,GR,23.67,11.67,12.0
HR,MK,23.62,12.15,11.47
BG,RS,23.4,9.4,14.0
AU,IL,23.27,11.6,11.67
AU,PL,23.26,4.89,18.38
BG,MK,23.24,9.91,13.33
AL,ME,22.9,8.6,14.3
EE,FI,22.88,11.96,10.92
GE,LT,22.82,10.07,12.75
IT,MD,22.74,17.67,5.08
CS,UA,21.83,8.33,13.5
AU,UA,21.82,11.25,10.57
IT,UA,21.75,17.42,4.33
RU,UA,21.73,11.47,10.27
CS,SI,21.67,4.67,17.0
AU,DK,21.38,8.0,13.38
EE,LV,21.2,9.11,12.09
AT,BG,21.12,11.0,10.12
AU,MT,20.95,12.29,8.67
AD,ES,20.8,10.0,10.8
AU,FI,20.78,7.89,12.89
AU,BG,20.75,12.75,8.0
BG,TR,20.71,13.71,7.0
BA,HR,20.56,10.35,10.21
GE,TR,20.4,7.4,13.0
ME,MK,20.4,12.4,8.0
HU,RS,20.38,6.2,14.18
AZ,MT,20.12,9.83,10.29
BG,CY,20.11,6.91,13.2
MD,PT,20.03,6.46,13.57
AZ,IL,19.87,12.93,6.93
AU,MD,19.84,10.71,9.12
AL,CH,19.68,7.94,11.74
AU,EE,19.43,7.57,11.86
HR,SI,19.32,8.24,11.08
ME,SI,19.25,11.38,7.88
AL,TR,19.22,12.56,6.67
CH,RS,19.2,13.93,5.27
AZ,MD,19.13,7.2,11.93
CH,CS,18.67,18.0,0.67
AZ,HU,18.67,7.67,11.0
CZ,IL,18.65,9.85,8.8
BA,TR,18.61,8.31,10.29
MK,TR,18.56,11.36,7.2
IL,UA,18.06,12.0,6.06
AM,NL,18.05,6.79,11.27
IT,MT,18.0,6.0,12.0
AT,CS,18.0,18.0,0.0
CZ,UA,18.0,14.0,4.0
LV,UA,17.93,13.0,4.93
IT,SM,17.79,6.0,11.79
AU,LV,17.79,7.67,10.12
PT,UA,17.58,13.22,4.35
BY,GE,17.5,8.8,8.7
EE,SE,17.48,11.21,6.27
AM,IL,17.48,7.21,10.27
IT,RO,17.48,10.3,7.18
HU,RO,17.36,5.0,12.36
AU,CY,17.33,9.0,8.33
IE,LT,17.3,12.3,5.0
AM,UA,17.25,9.87,7.38
AM,BG,17.24,3.44,13.8
DK,SE,17.18,10.35,6.82
BY,MD,17.15,9.45,7.7
DK,IS,17.14,8.24,8.9
AU,ES,17.03,3.6,13.43
CS,CY,17.0,2.0,15.0
CS,SE,17.0,3.0,14.0
AU,NO,17.0,6.5,10.5
LT,LU,17.0,4.0,13.0
IS,SE,16.93,10.47,6.46
AZ,CZ,16.87,5.57,11.3
GR,SM,16.82,4.18,12.64
