Source,Target,TotalPoints,Encounters,AvgPointsPerEncounter
ME,RS,234,10,23.4
MK,RS,254,12,21.17
AZ,RU,220,11,20.0
AM,RU,217,11,19.73
CS,MK,59,3,19.67
RU,AZ,213,11,19.36
GE,AM,245,13,18.85
MK,AL,263,14,18.79
RO,MD,294,16,18.38
PL,AU,147,8,18.38
BA,RS,110,6,18.33
AU,SE,183,10,18.3
AT,CS,36,2,18.0
HR,CS,36,2,18.0
CH,CS,36,2,18.0
MD,RO,267,15,17.8
MD,RU,267,15,17.8
IT,MD,159,9,17.67
FR,AM,244,14,17.43
IT,UA,209,12,17.42
LT,LV,241,14,17.21
BA,CS,34,2,17.0
SI,CS,34,2,17.0
RU,AM,187,11,17.0
MD,UA,288,17,16.94
GR,CY,522,31,16.84
TR,AZ,84,5,16.8
AL,GR,331,20,16.55
HR,RS,247,15,16.47
AM,GE,181,11,16.45
SI,RS,240,15,16.0
RS,MK,144,9,16.0
CY,GR,568,36,15.78
LT,UA,297,19,15.63
RS,HR,155,10,15.5
AZ,UA,232,15,15.47
GE,UA,231,15,15.4
ME,BA,77,5,15.4
PL,UA,277,18,15.39
IS,AU,123,8,15.38
BY,UA,215,14,15.36
AL,MK,183,12,15.25
GR,AL,289,19,15.21
BY,RU,212,14,15.14
GE,AZ,181,12,15.08
CY,CS,30,2,15.0
MK,CS,30,2,15.0
AM,CY,150,10,15.0
AU,BE,105,7,15.0
AL,IT,208,14,14.86
AZ,TR,72,5,14.4
ME,AL,143,10,14.3
RS,ME,100,7,14.29
RS,HU,156,11,14.18
SE,AU,127,9,14.11
SE,CS,28,2,14.0
CS,HR,42,3,14.0
CS,HU,14,1,14.0
CZ,UA,154,11,14.0
RS,BG,98,7,14.0
CH,RS,195,14,13.93
BE,AU,111,8,13.88
LV,LT,277,20,13.85
BG,AM,138,10,13.8
BG,TR,96,7,13.71
CS,BA,41,3,13.67
PT,MD,190,14,13.57
UA,CS,27,2,13.5
ES,BG,108,8,13.5
BG,GR,175,13,13.46
ES,AU,94,7,13.43
DK,AU,107,8,13.38
MK,BG,160,12,13.33
PT,UA,238,18,13.22
CY,BG,132,10,13.2
LV,UA,260,20,13.0
NL,CS,26,2,13.0
RS,BA,78,6,13.0
TR,GE,65,5,13.0
BA,AU,13,1,13.0
LU,LT,26,2,13.0
ME,LU,13,1,13.0
AZ,IL,194,15,12.93
UA,BY,155,12,12.92
FI,AU,116,9,12.89
GR,AM,206,16,12.88
GB,AU,115,9,12.78
AM,GR,217,17,12.76
LT,GE,153,12,12.75
AU,BG,51,4,12.75
BA,MK,114,9,12.67
SM,GR,177,14,12.64
IT,AL,139,11,12.64
AL,TR,113,9,12.56
DE,CS,25,2,12.5
TR,AM,75,6,12.5
ME,MK,62,5,12.4
RO,HU,136,11,12.36
RU,MD,185,15,12.33
IE,LT,283,23,12.3
ME,RU,123,10,12.3
AU,MT,86,7,12.29
HR,MK,158,13,12.15
LV,EE,266,22,12.09
MT,IT,252,21,12.0
MA,TR,12,1,12.0
LV,RU,240,20,12.0
IL,UA,240,20,12.0
GR,CS,24,2,12.0
RO,CS,24,2,12.0
HU,AU,60,5,12.0
EE,FI,287,24,11.96
EE,RU,251,21,11.95
MD,AZ,179,15,11.93
EE,AU,83,7,11.86
CZ,SE,154,13,11.85
SM,BG,59,5,11.8
SM,IT,165,14,11.79
CH,AL,223,19,11.74
GB,BG,129,11,11.73
RS,SI,129,11,11.73
UA,GE,117,10,11.7
CS,GR,35,3,11.67
IL,AU,105,9,11.67
MK,BA,116,10,11.6
AL,BG,116,10,11.6
AU,IL,116,10,11.6
GR,BG,104,9,11.56
LU,HR,23,2,11.5
MK,HR,172,15,11.47
RU,UA,172,15,11.47
GB,LT,274,24,11.42
BY,AU,57,5,11.4
ME,SI,91,8,11.38
MK,TR,125,11,11.36
CZ,AZ,113,10,11.3
NL,AM,169,15,11.27
AU,UA,90,8,11.25
AZ,GE,101,9,11.22
EE,SE,325,29,11.21
RU,BY,89,8,11.12
SI,HR,277,25,11.08
SI,MK,132,12,11.0
AT,BG,88,8,11.0
