Country,Region,Participations,Bloc,InDegree,OutDegree,TotalPointsReceived,TotalPointsGiven,AvgPtsReceivedPerEnc,AvgPtsGivenPerEnc,GiveReceiveRatio,Top5VotersForMe,Top5IVoteFor,Top5MutualPartners,StrongestMutualPair,LowVotersForMe
SE,Nordic,65,0,51,51,9568,5290,6.29,3.624,0.576,AU (18.3); CZ (11.85); EE (11.21); IS (10.47); DK (10.35),AU (14.11); CS (14); DK (6.82); BA (6.68); NO (6.46),AU (32.41); EE (17.48); DK (17.18); CS (17); IS (16.93),AU (32.41),
NO,Nordic,64,0,51,51,6230,5309,4.241,3.458,0.816,IS (7.75); LV (7.3); DK (7.02); LT (6.83); MD (6.71),AU (10.5); SE (9.57); LT (8.43); CS (8); BG (7.82),AU (17); SE (16.03); LT (15.27); DK (14.06); IS (13.97),AU (17),
FI,Nordic,59,0,51,51,4495,5038,3.45,3.77,1.093,EE (11.96); AD (8.17); AU (7.89); IS (7.48); RS (6.79),AU (12.89); EE (10.92); CS (10); HU (8.77); CZ (8.5),EE (22.88); AU (20.78); CZ (15.17); CS (15); IS (14.65),EE (22.88),MA; SK
EE,Baltic,31,0,49,49,3856,3828,4.192,4.013,0.957,LV (12.09); FI (10.92); LT (9.6); AU (7.57); SK (6.86),FI (11.96); RU (11.95); AU (11.86); SE (11.21); UA (9.25),FI (22.88); LV (21.2); AU (19.43); SE (17.48); LT (16.5),FI (22.88),AD
IS,Nordic,38,0,50,50,3726,4234,3.392,3.809,1.123,HU (8.38); AU (8.38); DK (8.24); FI (7.17); SE (6.46),AU (15.38); SE (10.47); DK (8.9); NO (7.75); CZ (7.64),AU (23.75); DK (17.14); SE (16.93); FI (14.65); HU (14.45),AU (23.75),AZ; BA; YU; CS; MK
PL,Eastern Europe,28,0,49,49,2647,3480,3.24,4.341,1.34,UA (8.67); DE (7.95); IT (7.89); GB (6.96); IE (6.45),AU (18.38); UA (15.39); SE (8.19); HU (6.79); CH (6.53),UA (24.06); AU (23.26); IT (14.12); BE (12.95); CZ (11.97),UA (24.06),MC; CS; TR; RS; HR
CZ,Eastern Europe,14,0,46,46,1820,2378,4.858,5.402,1.112,HR (10.71); HU (9.4); IL (8.8); ES (8.78); FI (8.5),UA (14); SE (11.85); AZ (11.3); AM (10.55); BG (9.86),IL (18.65); UA (18); AZ (16.87); SE (16.75); HU (16.26),IL (18.65),AD; AL; TR; DK
BE,Western Europe,67,1,51,51,4434,5214,3.466,3.562,1.028,AU (15); LT (7); GE (6.82); SK (6.75); PL (6.53),AU (13.88); AM (10.33); CZ (7.33); UA (6.55); PL (6.42),AU (28.88); AM (12.98); PL (12.95); CZ (11.24); BG (11.17),AU (28.88),MA; CS; HR
AU,Other,11,1,44,43,2993,2088,8.995,6.423,0.714,PL (18.38); IS (15.38); SE (14.11); BE (13.88); ES (13.43),SE (18.3); BE (15); BG (12.75); MT (12.29); IL (11.6),SE (32.41); BE (28.88); IS (23.75); IL (23.27); PL (23.26),SE (32.41),
BG,Balkans,15,1,48,48,2945,2204,6.875,4.458,0.648,RS (14); ES (13.5); MK (13.33); CY (13.2); AU (12.75),AM (13.8); TR (13.71); GR (13.46); AT (10.12); MK (9.91),GR (25.02); RS (23.4); MK (23.24); AT (21.12); AU (20.75),GR (25.02),AD; MC; SK; CS
GR,Mediterranean,46,2,51,51,5805,4650,5.132,4.271,0.832,AL (16.55); CY (15.78); BG (13.46); AM (12.76); SM (12.64),CY (16.84); AL (15.21); AM (12.88); CS (12); BG (11.56),CY (32.62); AL (31.76); AM (25.64); BG (25.02); CS (23.67),CY (32.62),MA
FR,Western Europe,68,2,51,51,5045,5284,2.866,3.605,1.258,AM (8.41); GR (4.48); MC (4.39); LU (4.36); AD (4.33),AM (17.43); IL (8.54); RS (8.25); CS (8); AU (7.75),AM (25.84); IL (12.6); RS (12.31); AU (11.85); PT (10.4),AM (25.84),SK; CS; BY; HU
ES,Southern Europe,65,2,51,51,3419,5342,2.08,3.919,1.884,AD (10); MA (5); PT (4.73); AL (3.71); AU (3.6),BG (13.5); AU (13.43); AD (10.8); RO (9.95); AM (9.12),AD (20.8); AU (17.03); BG (15.57); RO (12.43); AM (11.42),AD (20.8),CS; BY; UA; EE; SK
RO,Balkans,24,2,48,48,3118,3016,4.17,4.278,1.026,MD (17.8); IT (10.3); ES (9.95); IL (9.89); AZ (7.58),MD (18.38); HU (12.36); CS (12); AU (9); TR (8.92),MD (36.17); IT (17.48); HU (17.36); AZ (16.17); CS (16),MD (36.17),
MC,Western Europe,24,2,42,42,784,1058,1.203,2.493,2.072,AD (5.67); FR (2.73); IT (2.67); IL (2.4); DE (2.33),BA (9.33); CY (8); CS (7); HR (5.33); IL (5),CY (9.33); BA (9.33); IL (7.4); FR (7.12); CS (7),CY (9.33),BY; BA; HR; IS; LV
AD,Southern Europe,6,2,45,45,157,696,0.764,3.061,4.007,ES (10.8); CZ (3.5); PT (2); PL (1.75); EE (1.6),PT (10.67); ES (10); HU (8.5); UA (8.17); FI (8.17),ES (20.8); PT (12.67); FI (9); IL (8.5); HU (8.5),ES (20.8),AT; BE; BA; CY; DK
