Id,Label,Region,Participations
AD,AD,Southern Europe,6
AL,AL,Balkans,22
AM,AM,Caucasus,18
AT,AT,Western Europe,58
AU,AU,Other,11
AZ,AZ,Caucasus,18
BA,BA,Balkans,19
BE,BE,Western Europe,67
BG,BG,Balkans,15
BY,BY,Eastern Europe,17
CH,CH,Western Europe,66
CS,CS,Other,3
CY,CY,Mediterranean,42
CZ,CZ,Eastern Europe,14
DE,DE,Western Europe,69
DK,DK,Nordic,54
EE,EE,Baltic,31
ES,ES,Southern Europe,65
FI,FI,Nordic,59
FR,FR,Western Europe,68
GB,GB,Western Europe,68
GE,GE,Caucasus,18
GR,GR,Mediterranean,46
HR,HR,Balkans,31
HU,HU,Eastern Europe,17
IE,IE,Western Europe,59
IL,IL,Mediterranean,48
IS,IS,Nordic,38
IT,IT,Southern Europe,51
LT,LT,Baltic,26
LU,LU,Western Europe,39
LV,LV,Baltic,26
MA,MA,Other,1
MC,MC,Western Europe,24
MD,MD,Eastern Europe,20
ME,ME,Balkans,13
MK,MK,Balkans,22
MT,MT,Southern Europe,38
NL,NL,Western Europe,66
NO,NO,Nordic,64
PL,PL,Eastern Europe,28
PT,PT,Southern Europe,57
RO,RO,Balkans,24
RS,RS,Balkans,18
RU,RU,Eastern Europe,24
SE,SE,Nordic,65
SI,SI,Balkans,31
SK,SK,Eastern Europe,7
SM,SM,Southern Europe,16
TR,TR,Mediterranean,34
UA,UA,Eastern Europe,21
YU,YU,Other,27
