Id,Label,region,participations,Cluster,modularity_class,InDegree,OutDegree,TotalPointsReceived,TotalPointsGiven,AvgPtsReceivedPerEnc,AvgPtsGivenPerEnc,GiveReceiveRatio,GiveRecieveRatioLog
AD,AD,Southern Europe,6,1,2,45,45,157,696,0.764,3.061,4.007,0.6028193424327
AL,AL,Balkans,22,0,8,49,49,2655,3306,4.045,5.002,1.237,0.0923696996291207
AM,AM,Caucasus,18,0,4,49,47,3472,2726,5.601,4.639,0.828,-0.0819696632151199
AT,AT,Western Europe,58,0,3,51,51,4088,4619,3.366,3.995,1.187,0.0744507189545912
AU,AU,Other,11,0,1,44,43,2993,2088,8.995,6.423,0.714,-0.146301788223826
AZ,AZ,Caucasus,18,0,7,47,47,3550,2842,6.328,5.393,0.852,-0.0695604052332999
BA,BA,Balkans,19,0,8,48,49,2188,1798,4.153,3.936,0.948,-0.0231916626619338
BE,BE,Western Europe,67,0,1,51,51,4434,5214,3.466,3.562,1.028,0.0119931146592569
BG,BG,Balkans,15,0,1,48,48,2945,2204,6.875,4.458,0.648,-0.188424994129407
BY,BY,Eastern Europe,17,0,4,48,48,1393,2320,2.888,4.362,1.51,0.178976947293169
CH,CH,Western Europe,66,0,6,51,51,5486,5164,4.024,3.621,0.9,-0.0457574905606751
CS,CS,Other,3,0,8,38,39,663,348,8.816,3.265,0.37,-0.431798275933005
CY,CY,Mediterranean,42,0,4,50,50,4092,4408,4.07,4.237,1.041,0.0174507295105361
CZ,CZ,Eastern Europe,14,0,0,46,46,1820,2378,4.858,5.402,1.112,0.0461047872460387
DE,DE,Western Europe,69,2,3,51,51,3740,5332,2.074,3.572,1.723,0.236285277448029
DK,DK,Nordic,54,0,3,51,51,4535,4680,3.411,3.393,0.995,-0.00217691925427455
EE,EE,Baltic,31,0,0,49,49,3856,3828,4.192,4.013,0.957,-0.0190880622231565
ES,ES,Southern Europe,65,1,2,51,51,3419,5342,2.08,3.919,1.884,0.275080898456859
FI,FI,Nordic,59,0,0,51,51,4495,5038,3.45,3.77,1.093,0.0386201619497028
FR,FR,Western Europe,68,0,2,51,51,5045,5284,2.866,3.605,1.258,0.0996806411092501
GB,GB,Western Europe,68,0,3,51,51,4705,5402,2.565,3.494,1.362,0.134177107576766
GE,GE,Caucasus,18,0,4,47,47,1743,2842,3.554,4.835,1.36,0.133538908370218
GR,GR,Mediterranean,46,0,2,51,51,5805,4650,5.132,4.271,0.832,-0.0798766737092761
HR,HR,Balkans,31,0,8,49,49,3323,3712,4.692,4.614,0.983,-0.00744648216786438
HU,HU,Eastern Europe,17,0,7,48,48,2545,2204,4.761,4.093,0.86,-0.0655015487564323
IE,IE,Western Europe,59,0,3,51,51,4801,5220,3.212,3.556,1.107,0.0441476208787228
IL,IL,Mediterranean,48,0,4,50,50,6365,4786,5.284,4.203,0.795,-0.0996328713435297
IS,IS,Nordic,38,0,0,50,50,3726,4234,3.392,3.809,1.123,0.0503797562614578
IT,IT,Southern Europe,51,0,6,49,49,5382,3849,5.156,4.447,0.862,-0.0644927341752872
LT,LT,Baltic,26,0,5,49,49,3338,3538,4.092,4.236,1.035,0.0149403497929365
LU,LU,Western Europe,39,0,5,42,42,1742,1834,3.106,3.033,0.976,-0.0105501823333082
LV,LV,Baltic,26,0,5,49,49,2412,3538,3.592,4.079,1.135,0.0549958615291415
MA,MA,Other,1,2,3,18,18,7,58,0.389,3.222,8.286,0.918344928962275
MC,MC,Western Europe,24,3,2,42,42,784,1058,1.203,2.493,2.072,0.316389751073195
MD,MD,Eastern Europe,20,0,4,49,49,3568,3016,5.62,4.701,0.837,-0.07727454200674
ME,ME,Balkans,13,0,8,46,46,609,2146,2.128,5.405,2.54,0.404833716619938
MK,MK,Balkans,22,0,8,48,48,1858,2958,4.042,4.818,1.192,0.0762762554042176
MT,MT,Southern Europe,38,0,3,50,50,3861,4267,4.161,4.102,0.986,-0.00612308505878879
NL,NL,Western Europe,66,0,7,51,51,5432,5182,3.725,3.533,0.948,-0.0231916626619338
NO,NO,Nordic,64,0,0,51,51,6230,5309,4.241,3.458,0.816,-0.0883098412461389
PL,PL,Eastern Europe,28,0,0,49,49,2647,3480,3.24,4.341,1.34,0.127104798364808
PT,PT,Southern Europe,57,0,5,51,51,4317,4827,3.376,3.688,1.092,0.0382226383687185
RO,RO,Balkans,24,0,2,48,48,3118,3016,4.17,4.278,1.026,0.0111473607757975
RS,RS,Balkans,18,0,8,47,47,3382,2842,5.831,5.442,0.933,-0.0301183562535
RU,RU,Eastern Europe,24,0,4,48,48,5422,2668,7.208,4.078,0.566,-0.247183568811729
SE,SE,Nordic,65,0,0,51,51,9568,5290,6.29,3.624,0.576,-0.239577516576788
SI,SI,Balkans,31,0,8,49,49,2059,3828,2.828,4.568,1.615,0.208172526667122
SK,SK,Eastern Europe,7,5,3,40,41,144,638,0.894,3.08,3.444,0.537063142781617
SM,SM,Southern Europe,16,0,7,46,46,811,2610,2.217,5.128,2.313,0.364175632770619
TR,TR,Mediterranean,34,0,7,50,50,2786,2494,3.85,3.613,0.939,-0.0273344077338891
UA,UA,Eastern Europe,21,0,5,49,49,6743,3016,8.926,4.78,0.536,-0.27083521030723
YU,YU,Other,27,4,4,23,23,1013,1145,2.537,2.49,0.982,-0.00788851221305034
