Id,Label,region,participations,Cluster,modularity_class
AD,AD,Southern Europe,6,1,2
AL,AL,Balkans,22,0,8
AM,AM,Caucasus,18,0,4
AT,AT,Western Europe,58,0,3
AU,AU,Other,11,0,1
AZ,AZ,Caucasus,18,0,7
BA,BA,Balkans,19,0,8
BE,BE,Western Europe,67,0,1
BG,BG,Balkans,15,0,1
BY,BY,Eastern Europe,17,0,4
CH,CH,Western Europe,66,0,6
CS,CS,Other,3,0,8
CY,CY,Mediterranean,42,0,4
CZ,CZ,Eastern Europe,14,0,0
DE,DE,Western Europe,69,2,3
DK,DK,Nordic,54,0,3
EE,EE,Baltic,31,0,0
ES,ES,Southern Europe,65,1,2
FI,FI,Nordic,59,0,0
FR,FR,Western Europe,68,0,2
GB,GB,Western Europe,68,0,3
GE,GE,Caucasus,18,0,4
GR,GR,Mediterranean,46,0,2
HR,HR,Balkans,31,0,8
HU,HU,Eastern Europe,17,0,7
IE,IE,Western Europe,59,0,3
IL,IL,Mediterranean,48,0,4
IS,IS,Nordic,38,0,0
IT,IT,Southern Europe,51,0,6
LT,LT,Baltic,26,0,5
LU,LU,Western Europe,39,0,5
LV,LV,Baltic,26,0,5
MA,MA,Other,1,2,3
MC,MC,Western Europe,24,3,2
MD,MD,Eastern Europe,20,0,4
ME,ME,Balkans,13,0,8
MK,MK,Balkans,22,0,8
MT,MT,Southern Europe,38,0,3
NL,NL,Western Europe,66,0,7
NO,NO,Nordic,64,0,0
PL,PL,Eastern Europe,28,0,0
PT,PT,Southern Europe,57,0,5
RO,RO,Balkans,24,0,2
RS,RS,Balkans,18,0,8
RU,RU,Eastern Europe,24,0,4
SE,SE,Nordic,65,0,0
SI,SI,Balkans,31,0,8
SK,SK,Eastern Europe,7,5,3
SM,SM,Southern Europe,16,0,7
TR,TR,Mediterranean,34,0,7
UA,UA,Eastern Europe,21,0,5
YU,YU,Other,27,4,4
