Source,Target,TotalPoints,TotalEncounters,NumCountryPairs,AvgPtsPerEncounter
Balkans,Baltic,938,425,27,2.2070588235294117
Balkans,Caucasus,1306,313,27,4.172523961661342
Balkans,Eastern Europe,4172,832,71,5.014423076923077
Balkans,Mediterranean,3210,590,36,5.440677966101695
Balkans,Nordic,2892,819,45,3.531135531135531
Balkans,Other,595,72,16,8.26388888888889
Balkans,Southern Europe,2543,687,54,3.7016011644832605
Balkans,Western Europe,3485,1301,85,2.6787086856264413
Baltic,Balkans,643,416,27,1.5456730769230769
Baltic,Caucasus,599,128,9,4.6796875
Baltic,Eastern Europe,2261,344,24,6.5726744186046515
Baltic,Mediterranean,544,246,12,2.2113821138211383
Baltic,Nordic,2445,347,15,7.046109510086455
Baltic,Other,247,31,6,7.967741935483871
Baltic,Southern Europe,784,292,18,2.684931506849315
Baltic,Western Europe,2096,558,30,3.7562724014336917
Caucasus,Balkans,906,280,27,3.2357142857142858
Caucasus,Baltic,551,118,9,4.669491525423729
Caucasus,Eastern Europe,1956,239,23,8.184100418410042
Caucasus,Mediterranean,1270,144,12,8.819444444444445
Caucasus,Nordic,908,230,15,3.9478260869565216
Caucasus,Other,114,25,3,4.56
Caucasus,Southern Europe,927,201,18,4.611940298507463
Caucasus,Western Europe,1067,346,28,3.0838150289017343
Eastern Europe,Balkans,2634,764,71,3.4476439790575917
Eastern Europe,Baltic,1386,322,24,4.304347826086956
Eastern Europe,Caucasus,2068,247,24,8.37246963562753
Eastern Europe,Mediterranean,1743,438,32,3.9794520547945207
Eastern Europe,Nordic,3019,617,40,4.893030794165316
Eastern Europe,Other,570,56,13,10.178571428571429
Eastern Europe,Southern Europe,1475,524,46,2.814885496183206
Eastern Europe,Western Europe,2732,962,74,2.8399168399168397
Mediterranean,Balkans,2157,541,36,3.9870609981515712
Mediterranean,Baltic,566,224,12,2.5267857142857144
Mediterranean,Caucasus,1314,143,12,9.188811188811188
Mediterranean,Eastern Europe,2225,416,32,5.3485576923076925
Mediterranean,Nordic,2034,720,20,2.825
Mediterranean,Other,546,82,13,6.658536585365853
Mediterranean,Southern Europe,1844,564,24,3.269503546099291
Mediterranean,Western Europe,3729,1283,40,2.906469212782541
Nordic,Balkans,2032,734,45,2.768392370572207
Nordic,Baltic,1575,325,15,4.846153846153846
Nordic,Caucasus,504,215,15,2.344186046511628
Nordic,Eastern Europe,2480,593,40,4.18212478920742
Nordic,Mediterranean,2197,710,20,3.0943661971830987
Nordic,Other,882,156,19,5.653846153846154
Nordic,Southern Europe,2052,903,30,2.272425249169435
Nordic,Western Europe,6871,2188,50,3.140310786106033
Other,Balkans,426,71,15,6
Other,Baltic,180,30,6,6
Other,Caucasus,50,24,4,2.0833333333333335
Other,Eastern Europe,389,61,13,6.377049180327869
Other,Mediterranean,482,87,13,5.540229885057471
Other,Nordic,633,163,19,3.8834355828220857
Other,Southern Europe,415,137,16,3.0291970802919708
Other,Western Europe,1064,350,37,3.04
Southern Europe,Balkans,2281,638,54,3.5752351097178683
Southern Europe,Baltic,947,284,18,3.334507042253521
Southern Europe,Caucasus,923,198,18,4.661616161616162
Southern Europe,Eastern Europe,2788,526,46,5.300380228136882
Southern Europe,Mediterranean,2439,573,24,4.2565445026178015
Southern Europe,Nordic,3334,921,30,3.6199782844733983
Southern Europe,Other,508,128,16,3.96875
Southern Europe,Western Europe,5698,1797,58,3.1708402893711742
Western Europe,Balkans,4389,1208,85,3.6332781456953644
Western Europe,Baltic,2178,531,30,4.101694915254237
Western Europe,Caucasus,1290,338,28,3.8165680473372783
Western Europe,Eastern Europe,3918,959,74,4.085505735140772
Western Europe,Mediterranean,5240,1288,40,4.068322981366459
Western Europe,Nordic,7331,2200,50,3.332272727272727
Western Europe,Other,1214,343,37,3.5393586005830904
Western Europe,Southern Europe,5234,1783,58,2.9355019629837353
